position,texte,rien
1414,les,le
1415,défaillances,défaillance
1416,de,de
1417,la,le
1418,république,république
1419,gauche,gauche
1420,et,et
1421,droite,droit
1422,confondues,confondre
1423,nous,nous
1424,avons,avoir
1425,chacun,chacun
1426,notre,notre
1427,part,part
1428,.,.
1429,Vous,vous
1430,avez,avoir
1431,raison,raison
1432,de,de
1433,dire,dire
1434,qu,qu
1435,il,il
1436,ne,ne
1437,faut,falloir
1438,pas,pas
1439,avoir,avoir
1440,une,un
1441,vision,vision
1442,manichéenne,manichéen
1443,.,.
1444,Sur,sur
1445,le,le
1446,bilan,bilan
1447,en,en
1448,matière,matière
1449,de,de
1450,violence,violence
1451,de,de
1452,délinquance,délinquance
1453,avec,avec
1454,le,le
1455,même,même
1456,appareil,appareil
1457,statistique,statistiquer
1458,rien,rien
1459,n,n
1460,a,avoir
1461,changé,changer
1462,c,c
1463,est,être
1464,le,le
1465,même,même
1466,à,à
1467,l,l
1468,époque,époque
1469,de,de
1470,daniel,daniel
1471,vaillant,vaillant
1472,et,et
1473,le,le
1474,même,même
1475,sur,sur
1476,les,le
1477,cinq,cinq
1478,ans,an
1479,de,de
1480,gouvernement,gouvernement
1481,jospin,jospin
1482,la,le
1483,violence,violence
1484,la,le
1485,délinquance,délinquance
1486,avait,avoir
1487,augmenté,augmenter
1488,de,de
1489,.,.
1490,Sur,sur
1491,les,le
1492,cinq,cinq
1493,années,année
1494,du,du
1495,gouvernement,gouvernement
1496,du,du
1497,quinquennat,quinquennat
1498,de,de
1499,jacques,jacques
1500,chirac,chirac
1501,la,le
1502,délinquance,délinquance
1503,avec,avec
1504,le,le
1505,même,même
1506,appareil,appareil
1507,statistique,statistique
1508,a,avoir
1509,diminué,diminuer
1510,de,de
1511,.,.
1512,Je,je
1513,ne,ne
1514,dis,dire
1515,pas,pas
1516,que,que
1517,tout,tout
1518,est,être
1519,résolu,résoudre
1520,.,.
1521,Cela,cela
1522,fait,faire
1523,quand,quand
1524,même,même
1525,un,un
1526,million,million
1527,de,de
1528,victimes,victime
1529,en,en
1530,moins,moins
1531,.,.
1532,C,c
1533,est,être
1534,suffisant,suffisant
1535,pour,pour
1536,que,que
1537,je,je
1538,ne,ne
1539,parte,partir
1540,pas,pas
1541,en,en
1542,courant,courant
1543,quand,quand
1544,on,on
1545,évoque,évoquer
1546,le,le
1547,mot,mot
1548,bilan,bilan
1549,sur,sur
1550,la,le
1551,sécurité,sécurité
1552,.,.
1553,Il,il
1554,y,y
1555,a,avoir
1556,un,un
1557,deuxième,deuxième
1558,point,point
1559,où,où
1560,l,l
1561,on,on
1562,est,être
1563,en,en
1564,accord,accord
1565,il,il
1566,faut,falloir
1567,résoudre,résoudre
1568,le,le
1569,problème,problème
1570,de,de
1571,la,le
1572,dette,dette
1573,.,.
1574,Vous,vous
1575,avez,avoir
1576,parfaitement,parfaitement
1577,raison,raison
1578,.,.
1579,Madame,madame
1580,royal,royal
1581,vous,vous
1582,connaissez,connaître
1583,les,le
1584,chiffres,chiffre
1585,comme,comme
1586,moi,moi
1587,j,j
1588,imagine,imaginer
1589,que,que
1590,dans,dans
1591,cette,ce
1592,campagne,campagne
1593,électorale,électoral
1594,on,on
1595,est,être
1596,au,au
1597,même,même
1598,niveau,niveau
1599,de,de
1600,préparation,préparation
1601,.,.
1602,Depuis,depuis
1603,combien,combien
1604,de,de
1605,temps,temps
1606,les,le
1607,budgets,budget
1608,de,de
1609,la,la
1610,france,france
1611,sont,être
1612,en,en
1613,déficit,déficit
1614,ans,an
1615,.,.
1616,On,on
1617,ne,ne
1618,peut,pouvoir
1619,pas,pas
1620,expliquer,expliquer
1621,que,que
1622,l,l
1623,endettement,endettement
1624,de,de
1625,la,le
1626,france,france
1627,dépend,dépendre
1628,de,de
1629,ces,ce
1630,cinq,cinq
1631,dernières,dernier
1632,années,année
1633,.,.
1634,Le,le
1635,problème,problème
1636,est,être
1637,comment,comment
1638,fait,faire
1639,on,on
1640,je,je
1641,propose,proposer
1642,une,un
1643,chose,chose
1644,du,du
1645,budget,budget
1646,de,de
1647,la,le
1648,france,france
1649,c,c
1650,est,être
1651,le,le
1652,salaire,salaire
1653,de,de
1654,la,le
1655,fonction,fonction
1656,publique,publique
1657,et,et
1658,les,le
1659,pensions,pension
1660,de,de
1661,retraite,retraite
1662,.,.
1663,Ce,ce
1664,sont,être
1665,les,le
1666,intérêts,intérêt
1667,de,de
1668,la,le
1669,dette,dette
1670,.,.
1671,Ce,ce
1672,sont,être
1673,les,le
1674,deux,deux
1675,postes,poste|postes
1676,.,.
1677,Se,se
1678,trouvera,trouver
1679,posé,poser
1680,pour,pour
1681,madame,madame
1682,royal,royal
1683,comme,comme
1684,pour,pour
1685,moi,moi
1686,ce,ce
1687,n,n
1688,est,être
1689,pas,pas
