position,texte,rien
1434,républicaine,républicain
1435,à,à
1436,la,le
1437,française,français
1438,et,et
1439,vous,vous
1440,vous,vous
1441,définissez,définir
1442,jospin,jospin
1443,comme,comme
1444,un,un
1445,président,président
1446,citoyen,citoyen
1447,.,.
1448,Qu,qu
1449,est,être
1450,ce,ce
1451,qui,qui
1452,va,aller
1453,concrètement,concrètement
1454,changer,changer
1455,est,est
1456,ce,ce
1457,que,que
1458,finalement,finalement
1459,l,l
1460,un,un
1461,et,et
1462,l,l
1463,autre,autre
1464,vous,vous
1465,ne,ne
1466,marquez,marquer
1467,pas,pas
1468,une,un
1469,rupture,rupture
1470,par,par
1471,rapport,rapport
1472,à,à
1473,ce,ce
1474,qu,qu
1475,on,on
1476,appelait,appeler
1477,traditionnellement,traditionnellement
1478,la,le
1479,monarchie,monarchie
1480,républicaine,républicain
1481,à,à
1482,la,le
1483,française,française
1484,chirac,chirac
1485,nous,nous
1486,avons,avoir
1487,des,du
1488,institutions,institution
1489,très,très
1490,remarquables,remarquable
1491,de,de
1492,mon,mon
1493,point,point
1494,de,de
1495,vue,vue
1496,.,.
1497,Elles,elle
1498,nous,nous
1499,ont,avoir
1500,été,être
1501,données,donner
1502,par,par
1503,le,le
1504,général,général
1505,de,de
1506,gaulle,gaulle
1507,elles,elle
1508,ont,avoir
1509,de,de
1510,la,le
1511,souplesse,souplesse
1512,et,et
1513,de,de
1514,l,l
1515,efficacité,efficacité
1516,.,.
1517,Mais,mais
1518,naturellement,naturellement
1519,les,le
1520,textes,texte
1521,sont,être
1522,les,le
1523,textes,texte
1524,et,et
1525,la,le
1526,manière,manière
1527,de,de
1528,les,la|le
1529,interpréter,interpréter
1530,peut,pouvoir
1531,varier,varier
1532,.,.
1533,Et,et
1534,nous,nous
1535,avons,avoir
1536,assisté,assister
1537,au,au
1538,fil,fil
1539,des,du
1540,temps,temps
1541,à,à
1542,une,un
1543,dérive,dérive
1544,monarchique,monarchique
1545,des,du
1546,institutions,institution
1547,c,c
1548,est,être
1549,à,à
1550,dire,dire
1551,que,que
1552,de,de
1553,plus,plus
1554,en,en
1555,plus,plus
1556,le,le
1557,président,président
1558,de,de
1559,la,le
1560,république,république
1561,au,au
1562,lieu,lieu
1563,d,d
1564,être,être
1565,ce,ce
1566,qu,qu
1567,il,il
1568,doit,devoir
1569,être,être
1570,c,c
1571,est,être
1572,à,à
1573,dire,dire
1574,un,un
1575,arbitre,arbitre
1576,l,l
1577,homme,homme
1578,qui,qui
1579,est,être
1580,le,le
1581,porteur,porteur
1582,d,d
1583,une,un
1584,vision,vision
1585,de,de
1586,l,l
1587,avenir,avenir
1588,l,l
1589,homme,homme
1590,qui,qui
1591,donne,donner
1592,l,l
1593,impulsion,impulsion
1594,aux,au
1595,choses,chose
1596,est,être
1597,devenu,devenir
1598,une,un
1599,sorte,sorte
1600,de,de
1601,super,super
1602,premier,premier
1603,ministre,ministre
1604,assumant,assumer
1605,l,l
1606,ensemble,ensemble
1607,des,du
1608,responsabilités,responsabilité
1609,.,.
1610,A,à
1611,partir,partir
1612,de,de
1613,là,là
1614,les,le
1615,institutions,institution
1616,se,se
1617,sont,être
1618,modifiées,modifier
1619,et,et
1620,petit,petit
1621,à,à
1622,petit,petit
1623,le,le
1624,politique,politique
1625,a,avoir
1626,réellement,réellement
1627,perdu,perdre
1628,son,son
1629,pouvoir,pouvoir
1630,.,.
1631,Cela,cela
1632,a,avoir
1633,été,être
1634,vrai,vrai
1635,pour,pour
1636,le,le
1637,gouvernement,gouvernement
1638,et,et
1639,également,également
1640,pour,pour
1641,le,le
1642,parlement,parlement
1643,.,.
1644,Alors,alors
1645,que,que
1646,faut,falloir
1647,il,il
1648,faire,faire
1649,je,je
1650,crois,croire
1651,qu,qu
1652,il,il
1653,faut,falloir
1654,d,d
1655,abord,abord
1656,rééquilibrer,rééquilibrer
1657,les,le
1658,institutions,institution
1659,et,et
1660,c,c
1661,est,être
1662,ce,ce
1663,à,à
1664,quoi,quoi
1665,je,je
1666,m,m
1667,engage,engager
1668,c,c
1669,est,être
1670,à,à
1671,dire,dire
1672,faire,faire
1673,en,en
1674,sorte,sorte
1675,que,que
1676,le,le
1677,président,président
1678,de,de
1679,la,le
1680,république,république
1681,assume,assumer
1682,les,le
1683,fonctions,fonction
1684,de,de
